Epoch 18/150 | Train Loss: 0.1048 (KL: 0.0159) | Val Loss: 0.1026 (KL: 0.0103) | KLw: 0.100 | Loss Diff : 0.0022 | Epoch Time: 9.36s | Total Time: 169.25s
Epoch 19/150 | Train Loss: 0.1046 (KL: 0.0156) | Val Loss: 0.1016 (KL: 0.0107) | KLw: 0.100 | Loss Diff : 0.0029 | Epoch Time: 9.37s | Total Time: 178.62s
Epoch 20/150 | Train Loss: 0.1042 (KL: 0.0157) | Val Loss: 0.1004 (KL: 0.0069) | KLw: 0.100 | Loss Diff : 0.0038 | Epoch Time: 9.37s | Total Time: 187.99s
Epoch 21/150 | Train Loss: 0.1037 (KL: 0.0153) | Val Loss: 0.0996 (KL: 0.0103) | KLw: 0.100 | Loss Diff : 0.0042 | Epoch Time: 9.38s | Total Time: 197.37s
Epoch 22/150 | Train Loss: 0.1031 (KL: 0.0154) | Val Loss: 0.0987 (KL: 0.0136) | KLw: 0.100 | Loss Diff : 0.0044 | Epoch Time: 9.36s | Total Time: 206.73s
Epoch 23/150 | Train Loss: 0.1027 (KL: 0.0152) | Val Loss: 0.0983 (KL: 0.0149) | KLw: 0.100 | Loss Diff : 0.0044 | Epoch Time: 9.35s | Total Time: 216.08s
Epoch 24/150 | Train Loss: 0.1022 (KL: 0.0148) | Val Loss: 0.0983 (KL: 0.0083) | KLw: 0.100 | Loss Diff : 0.0039 | Epoch Time: 9.45s | Total Time: 225.53s
Epoch 25/150 | Train Loss: 0.1019 (KL: 0.0150) | Val Loss: 0.0980 (KL: 0.0079) | KLw: 0.100 | Loss Diff : 0.0038 | Epoch Time: 9.55s | Total Time: 235.08s
Epoch 26/150 | Train Loss: 0.1015 (KL: 0.0150) | Val Loss: 0.0980 (KL: 0.0086) | KLw: 0.100 | Loss Diff : 0.0035 | Epoch Time: 9.39s | Total Time: 244.46s
Epoch 27/150 | Train Loss: 0.1011 (KL: 0.0150) | Val Loss: 0.0963 (KL: 0.0124) | KLw: 0.100 | Loss Diff : 0.0048 | Epoch Time: 9.36s | Total Time: 253.82s
Epoch 28/150 | Train Loss: 0.1009 (KL: 0.0150) | Val Loss: 0.0958 (KL: 0.0089) | KLw: 0.100 | Loss Diff : 0.0051 | Epoch Time: 9.37s | Total Time: 263.20s
Epoch 29/150 | Train Loss: 0.1005 (KL: 0.0147) | Val Loss: 0.0956 (KL: 0.0090) | KLw: 0.100 | Loss Diff : 0.0049 | Epoch Time: 9.36s | Total Time: 272.56s
Epoch 30/150 | Train Loss: 0.1001 (KL: 0.0147) | Val Loss: 0.0969 (KL: 0.0062) | KLw: 0.100 | Loss Diff : 0.0032 | Epoch Time: 9.37s | Total Time: 281.93s
Epoch 31/150 | Train Loss: 0.0999 (KL: 0.0145) | Val Loss: 0.0963 (KL: 0.0077) | KLw: 0.100 | Loss Diff : 0.0036 | Epoch Time: 9.38s | Total Time: 291.30s
Epoch 32/150 | Train Loss: 0.0996 (KL: 0.0144) | Val Loss: 0.0967 (KL: 0.0174) | KLw: 0.100 | Loss Diff : 0.0029 | Epoch Time: 9.38s | Total Time: 300.68s
Epoch 33/150 | Train Loss: 0.0996 (KL: 0.0147) | Val Loss: 0.0982 (KL: 0.0082) | KLw: 0.100 | Loss Diff : 0.0014 | Epoch Time: 9.37s | Total Time: 310.05s
Epoch 34/150 | Train Loss: 0.0992 (KL: 0.0143) | Val Loss: 0.0946 (KL: 0.0186) | KLw: 0.100 | Loss Diff : 0.0046 | Epoch Time: 9.36s | Total Time: 319.41s
Epoch 35/150 | Train Loss: 0.0991 (KL: 0.0146) | Val Loss: 0.0951 (KL: 0.0140) | KLw: 0.100 | Loss Diff : 0.0040 | Epoch Time: 9.36s | Total Time: 328.77s
Epoch 36/150 | Train Loss: 0.0988 (KL: 0.0141) | Val Loss: 0.0941 (KL: 0.0107) | KLw: 0.100 | Loss Diff : 0.0047 | Epoch Time: 9.37s | Total Time: 338.14s
Epoch 37/150 | Train Loss: 0.0985 (KL: 0.0142) | Val Loss: 0.0947 (KL: 0.0089) | KLw: 0.100 | Loss Diff : 0.0038 | Epoch Time: 9.42s | Total Time: 347.56s
Epoch 38/150 | Train Loss: 0.0985 (KL: 0.0141) | Val Loss: 0.0947 (KL: 0.0074) | KLw: 0.100 | Loss Diff : 0.0038 | Epoch Time: 9.56s | Total Time: 357.12s
Epoch 39/150 | Train Loss: 0.0983 (KL: 0.0141) | Val Loss: 0.0958 (KL: 0.0068) | KLw: 0.100 | Loss Diff : 0.0025 | Epoch Time: 9.43s | Total Time: 366.56s
Epoch 40/150 | Train Loss: 0.0980 (KL: 0.0141) | Val Loss: 0.0944 (KL: 0.0089) | KLw: 0.100 | Loss Diff : 0.0036 | Epoch Time: 9.37s | Total Time: 375.93s
Epoch 41/150 | Train Loss: 0.0979 (KL: 0.0140) | Val Loss: 0.0942 (KL: 0.0079) | KLw: 0.100 | Loss Diff : 0.0037 | Epoch Time: 9.36s | Total Time: 385.29s
Epoch 42/150 | Train Loss: 0.0979 (KL: 0.0141) | Val Loss: 0.0938 (KL: 0.0137) | KLw: 0.100 | Loss Diff : 0.0041 | Epoch Time: 9.38s | Total Time: 394.67s
Epoch 43/150 | Train Loss: 0.0977 (KL: 0.0140) | Val Loss: 0.0936 (KL: 0.0095) | KLw: 0.100 | Loss Diff : 0.0042 | Epoch Time: 9.39s | Total Time: 404.05s
Epoch 44/150 | Train Loss: 0.0975 (KL: 0.0140) | Val Loss: 0.0944 (KL: 0.0074) | KLw: 0.100 | Loss Diff : 0.0031 | Epoch Time: 9.37s | Total Time: 413.42s
Epoch 45/150 | Train Loss: 0.0975 (KL: 0.0140) | Val Loss: 0.0936 (KL: 0.0112) | KLw: 0.100 | Loss Diff : 0.0039 | Epoch Time: 9.37s | Total Time: 422.80s
Epoch 46/150 | Train Loss: 0.0974 (KL: 0.0140) | Val Loss: 0.0931 (KL: 0.0115) | KLw: 0.100 | Loss Diff : 0.0042 | Epoch Time: 9.39s | Total Time: 432.19s
Epoch 47/150 | Train Loss: 0.0970 (KL: 0.0138) | Val Loss: 0.0940 (KL: 0.0086) | KLw: 0.100 | Loss Diff : 0.0030 | Epoch Time: 9.38s | Total Time: 441.57s
Epoch 48/150 | Train Loss: 0.0970 (KL: 0.0138) | Val Loss: 0.0948 (KL: 0.0078) | KLw: 0.100 | Loss Diff : 0.0021 | Epoch Time: 9.39s | Total Time: 450.95s
Epoch 49/150 | Train Loss: 0.0970 (KL: 0.0136) | Val Loss: 0.0928 (KL: 0.0140) | KLw: 0.100 | Loss Diff : 0.0042 | Epoch Time: 9.37s | Total Time: 460.32s
Epoch 50/150 | Train Loss: 0.0968 (KL: 0.0138) | Val Loss: 0.0936 (KL: 0.0071) | KLw: 0.100 | Loss Diff : 0.0032 | Epoch Time: 9.38s | Total Time: 469.70s
Epoch 51/150 | Train Loss: 0.0967 (KL: 0.0137) | Val Loss: 0.0936 (KL: 0.0110) | KLw: 0.100 | Loss Diff : 0.0031 | Epoch Time: 9.54s | Total Time: 479.24s
Epoch 52/150 | Train Loss: 0.0966 (KL: 0.0139) | Val Loss: 0.0929 (KL: 0.0095) | KLw: 0.100 | Loss Diff : 0.0038 | Epoch Time: 9.52s | Total Time: 488.76s
Epoch 53/150 | Train Loss: 0.0965 (KL: 0.0137) | Val Loss: 0.0931 (KL: 0.0111) | KLw: 0.100 | Loss Diff : 0.0034 | Epoch Time: 9.39s | Total Time: 498.14s
Epoch 54/150 | Train Loss: 0.0965 (KL: 0.0138) | Val Loss: 0.0932 (KL: 0.0093) | KLw: 0.100 | Loss Diff : 0.0032 | Epoch Time: 9.39s | Total Time: 507.53s
Epoch 55/150 | Train Loss: 0.0962 (KL: 0.0137) | Val Loss: 0.0936 (KL: 0.0095) | KLw: 0.100 | Loss Diff : 0.0027 | Epoch Time: 9.39s | Total Time: 516.92s
Epoch 56/150 | Train Loss: 0.0943 (KL: 0.0126) | Val Loss: 0.0912 (KL: 0.0079) | KLw: 0.100 | Loss Diff : 0.0032 | Epoch Time: 9.37s | Total Time: 526.30s
Epoch 57/150 | Train Loss: 0.0941 (KL: 0.0127) | Val Loss: 0.0917 (KL: 0.0076) | KLw: 0.100 | Loss Diff : 0.0024 | Epoch Time: 9.38s | Total Time: 535.68s
Epoch 58/150 | Train Loss: 0.0940 (KL: 0.0125) | Val Loss: 0.0909 (KL: 0.0097) | KLw: 0.100 | Loss Diff : 0.0031 | Epoch Time: 9.37s | Total Time: 545.06s
Epoch 59/150 | Train Loss: 0.0939 (KL: 0.0128) | Val Loss: 0.0906 (KL: 0.0095) | KLw: 0.100 | Loss Diff : 0.0033 | Epoch Time: 9.36s | Total Time: 554.42s
Epoch 60/150 | Train Loss: 0.0938 (KL: 0.0128) | Val Loss: 0.0924 (KL: 0.0085) | KLw: 0.100 | Loss Diff : 0.0015 | Epoch Time: 9.37s | Total Time: 563.79s
Epoch 61/150 | Train Loss: 0.0937 (KL: 0.0127) | Val Loss: 0.0906 (KL: 0.0106) | KLw: 0.100 | Loss Diff : 0.0031 | Epoch Time: 9.37s | Total Time: 573.17s
Epoch 62/150 | Train Loss: 0.0936 (KL: 0.0125) | Val Loss: 0.0907 (KL: 0.0081) | KLw: 0.100 | Loss Diff : 0.0028 | Epoch Time: 9.38s | Total Time: 582.55s
Epoch 63/150 | Train Loss: 0.0937 (KL: 0.0127) | Val Loss: 0.0903 (KL: 0.0117) | KLw: 0.100 | Loss Diff : 0.0034 | Epoch Time: 9.37s | Total Time: 591.91s
Epoch 64/150 | Train Loss: 0.0934 (KL: 0.0125) | Val Loss: 0.0910 (KL: 0.0131) | KLw: 0.100 | Loss Diff : 0.0024 | Epoch Time: 9.44s | Total Time: 601.35s
Epoch 65/150 | Train Loss: 0.0934 (KL: 0.0125) | Val Loss: 0.0915 (KL: 0.0065) | KLw: 0.100 | Loss Diff : 0.0018 | Epoch Time: 9.53s | Total Time: 610.88s
Epoch 66/150 | Train Loss: 0.0933 (KL: 0.0124) | Val Loss: 0.0911 (KL: 0.0075) | KLw: 0.100 | Loss Diff : 0.0022 | Epoch Time: 9.41s | Total Time: 620.29s
Epoch 67/150 | Train Loss: 0.0932 (KL: 0.0124) | Val Loss: 0.0906 (KL: 0.0087) | KLw: 0.100 | Loss Diff : 0.0027 | Epoch Time: 9.38s | Total Time: 629.67s
