Epoch 20/150 | Train Loss: 0.1045 (KL: 0.0157) | Val Loss: 0.1006 (KL: 0.0117) | KLw: 0.100 | Loss Diff : 0.0038 | Epoch Time: 9.08s | Total Time: 199.93s
Epoch 21/150 | Train Loss: 0.1043 (KL: 0.0155) | Val Loss: 0.1027 (KL: 0.0095) | KLw: 0.100 | Loss Diff : 0.0016 | Epoch Time: 9.08s | Total Time: 209.01s
Epoch 22/150 | Train Loss: 0.1040 (KL: 0.0154) | Val Loss: 0.1005 (KL: 0.0151) | KLw: 0.100 | Loss Diff : 0.0034 | Epoch Time: 9.05s | Total Time: 218.06s
Epoch 23/150 | Train Loss: 0.1037 (KL: 0.0153) | Val Loss: 0.1011 (KL: 0.0088) | KLw: 0.100 | Loss Diff : 0.0026 | Epoch Time: 9.06s | Total Time: 227.12s
Epoch 24/150 | Train Loss: 0.1034 (KL: 0.0153) | Val Loss: 0.1011 (KL: 0.0170) | KLw: 0.100 | Loss Diff : 0.0023 | Epoch Time: 9.07s | Total Time: 236.19s
Epoch 25/150 | Train Loss: 0.1032 (KL: 0.0152) | Val Loss: 0.0999 (KL: 0.0098) | KLw: 0.100 | Loss Diff : 0.0033 | Epoch Time: 9.07s | Total Time: 245.27s
Epoch 26/150 | Train Loss: 0.1030 (KL: 0.0151) | Val Loss: 0.1008 (KL: 0.0098) | KLw: 0.100 | Loss Diff : 0.0022 | Epoch Time: 9.09s | Total Time: 254.35s
Epoch 27/150 | Train Loss: 0.1028 (KL: 0.0151) | Val Loss: 0.0998 (KL: 0.0124) | KLw: 0.100 | Loss Diff : 0.0030 | Epoch Time: 9.06s | Total Time: 263.41s
Epoch 28/150 | Train Loss: 0.1027 (KL: 0.0153) | Val Loss: 0.0998 (KL: 0.0124) | KLw: 0.100 | Loss Diff : 0.0029 | Epoch Time: 9.06s | Total Time: 272.48s
Epoch 29/150 | Train Loss: 0.1023 (KL: 0.0149) | Val Loss: 0.0994 (KL: 0.0111) | KLw: 0.100 | Loss Diff : 0.0029 | Epoch Time: 9.07s | Total Time: 281.55s
Epoch 30/150 | Train Loss: 0.1020 (KL: 0.0150) | Val Loss: 0.0992 (KL: 0.0138) | KLw: 0.100 | Loss Diff : 0.0029 | Epoch Time: 9.08s | Total Time: 290.63s
Epoch 31/150 | Train Loss: 0.1016 (KL: 0.0150) | Val Loss: 0.0986 (KL: 0.0105) | KLw: 0.100 | Loss Diff : 0.0030 | Epoch Time: 9.07s | Total Time: 299.70s
Epoch 32/150 | Train Loss: 0.1012 (KL: 0.0146) | Val Loss: 0.0979 (KL: 0.0127) | KLw: 0.100 | Loss Diff : 0.0032 | Epoch Time: 9.06s | Total Time: 308.76s
Epoch 33/150 | Train Loss: 0.1010 (KL: 0.0148) | Val Loss: 0.0980 (KL: 0.0103) | KLw: 0.100 | Loss Diff : 0.0030 | Epoch Time: 9.07s | Total Time: 317.83s
Epoch 34/150 | Train Loss: 0.1004 (KL: 0.0145) | Val Loss: 0.0971 (KL: 0.0145) | KLw: 0.100 | Loss Diff : 0.0032 | Epoch Time: 9.05s | Total Time: 326.88s
Epoch 35/150 | Train Loss: 0.1002 (KL: 0.0145) | Val Loss: 0.0969 (KL: 0.0075) | KLw: 0.100 | Loss Diff : 0.0034 | Epoch Time: 9.05s | Total Time: 335.94s
Epoch 36/150 | Train Loss: 0.0999 (KL: 0.0146) | Val Loss: 0.0968 (KL: 0.0109) | KLw: 0.100 | Loss Diff : 0.0031 | Epoch Time: 9.08s | Total Time: 345.01s
Epoch 37/150 | Train Loss: 0.0996 (KL: 0.0142) | Val Loss: 0.0963 (KL: 0.0117) | KLw: 0.100 | Loss Diff : 0.0033 | Epoch Time: 9.07s | Total Time: 354.08s
Epoch 38/150 | Train Loss: 0.0993 (KL: 0.0142) | Val Loss: 0.0961 (KL: 0.0080) | KLw: 0.100 | Loss Diff : 0.0032 | Epoch Time: 9.08s | Total Time: 363.16s
Epoch 39/150 | Train Loss: 0.0989 (KL: 0.0141) | Val Loss: 0.0962 (KL: 0.0090) | KLw: 0.100 | Loss Diff : 0.0027 | Epoch Time: 9.09s | Total Time: 372.25s
Epoch 40/150 | Train Loss: 0.0988 (KL: 0.0142) | Val Loss: 0.0947 (KL: 0.0115) | KLw: 0.100 | Loss Diff : 0.0041 | Epoch Time: 9.07s | Total Time: 381.32s
Epoch 41/150 | Train Loss: 0.0986 (KL: 0.0143) | Val Loss: 0.0967 (KL: 0.0098) | KLw: 0.100 | Loss Diff : 0.0019 | Epoch Time: 9.06s | Total Time: 390.37s
Epoch 42/150 | Train Loss: 0.0984 (KL: 0.0143) | Val Loss: 0.0965 (KL: 0.0121) | KLw: 0.100 | Loss Diff : 0.0019 | Epoch Time: 9.08s | Total Time: 399.45s
Epoch 43/150 | Train Loss: 0.0982 (KL: 0.0143) | Val Loss: 0.0964 (KL: 0.0053) | KLw: 0.100 | Loss Diff : 0.0018 | Epoch Time: 9.07s | Total Time: 408.52s
Epoch 44/150 | Train Loss: 0.0979 (KL: 0.0140) | Val Loss: 0.0947 (KL: 0.0122) | KLw: 0.100 | Loss Diff : 0.0032 | Epoch Time: 9.07s | Total Time: 417.59s
Epoch 45/150 | Train Loss: 0.0976 (KL: 0.0139) | Val Loss: 0.0953 (KL: 0.0093) | KLw: 0.100 | Loss Diff : 0.0024 | Epoch Time: 9.08s | Total Time: 426.67s
