# ---------- BATCH RECIEPT ---------- #
Job ID: 17762322
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 14:09:26 BST 2026
Job description: Kinematic Regression MLA with no kld
Node: node882.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 14:09:32
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1
  latent_dim: 16

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 24/150 | Train Loss: 0.1183 | Val Loss: 0.0961 | Train - Val Loss Diff : 0.0222 | Mass Train Loss : 127.3830 | Mass Val Loss : 105.2652 | Epoch Time: 9.36s | Total Time: 223.78s
Epoch 25/150 | Train Loss: 0.1128 | Val Loss: 0.0866 | Train - Val Loss Diff : 0.0262 | Mass Train Loss : 129.8991 | Mass Val Loss : 99.5806 | Epoch Time: 9.33s | Total Time: 233.11s
Epoch 26/150 | Train Loss: 0.1102 | Val Loss: 0.0869 | Train - Val Loss Diff : 0.0232 | Mass Train Loss : 129.3849 | Mass Val Loss : 95.3856 | Epoch Time: 9.34s | Total Time: 242.45s
Epoch 27/150 | Train Loss: 0.1090 | Val Loss: 0.0842 | Train - Val Loss Diff : 0.0247 | Mass Train Loss : 128.7707 | Mass Val Loss : 93.2260 | Epoch Time: 9.34s | Total Time: 251.79s
Epoch 28/150 | Train Loss: 0.1082 | Val Loss: 0.0836 | Train - Val Loss Diff : 0.0246 | Mass Train Loss : 128.4970 | Mass Val Loss : 99.1581 | Epoch Time: 9.35s | Total Time: 261.14s
Epoch 29/150 | Train Loss: 0.1076 | Val Loss: 0.0845 | Train - Val Loss Diff : 0.0231 | Mass Train Loss : 128.5043 | Mass Val Loss : 104.5634 | Epoch Time: 9.33s | Total Time: 270.47s
Epoch 30/150 | Train Loss: 0.1071 | Val Loss: 0.0840 | Train - Val Loss Diff : 0.0232 | Mass Train Loss : 128.4792 | Mass Val Loss : 93.3519 | Epoch Time: 9.34s | Total Time: 279.81s
Epoch 31/150 | Train Loss: 0.1065 | Val Loss: 0.0814 | Train - Val Loss Diff : 0.0250 | Mass Train Loss : 128.0481 | Mass Val Loss : 93.9553 | Epoch Time: 9.35s | Total Time: 289.16s
Epoch 32/150 | Train Loss: 0.1061 | Val Loss: 0.0829 | Train - Val Loss Diff : 0.0231 | Mass Train Loss : 127.8445 | Mass Val Loss : 106.0134 | Epoch Time: 9.35s | Total Time: 298.51s
Epoch 33/150 | Train Loss: 0.1056 | Val Loss: 0.0836 | Train - Val Loss Diff : 0.0220 | Mass Train Loss : 127.4742 | Mass Val Loss : 98.1331 | Epoch Time: 9.38s | Total Time: 307.89s
Epoch 34/150 | Train Loss: 0.1053 | Val Loss: 0.0816 | Train - Val Loss Diff : 0.0237 | Mass Train Loss : 127.4207 | Mass Val Loss : 93.8721 | Epoch Time: 9.32s | Total Time: 317.21s
Epoch 35/150 | Train Loss: 0.1052 | Val Loss: 0.0816 | Train - Val Loss Diff : 0.0235 | Mass Train Loss : 127.1072 | Mass Val Loss : 88.7899 | Epoch Time: 9.35s | Total Time: 326.55s
Epoch 36/150 | Train Loss: 0.1049 | Val Loss: 0.0824 | Train - Val Loss Diff : 0.0225 | Mass Train Loss : 127.0496 | Mass Val Loss : 92.2984 | Epoch Time: 9.33s | Total Time: 335.89s
Epoch 37/150 | Train Loss: 0.1045 | Val Loss: 0.0814 | Train - Val Loss Diff : 0.0231 | Mass Train Loss : 127.0098 | Mass Val Loss : 95.6276 | Epoch Time: 9.28s | Total Time: 345.17s
Epoch 38/150 | Train Loss: 0.1043 | Val Loss: 0.0809 | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 126.9634 | Mass Val Loss : 91.6789 | Epoch Time: 9.26s | Total Time: 354.42s
Epoch 39/150 | Train Loss: 0.1041 | Val Loss: 0.0813 | Train - Val Loss Diff : 0.0228 | Mass Train Loss : 126.9260 | Mass Val Loss : 92.2441 | Epoch Time: 9.27s | Total Time: 363.70s
Epoch 40/150 | Train Loss: 0.1040 | Val Loss: 0.0812 | Train - Val Loss Diff : 0.0228 | Mass Train Loss : 126.9511 | Mass Val Loss : 91.3030 | Epoch Time: 9.30s | Total Time: 372.99s
Epoch 41/150 | Train Loss: 0.1037 | Val Loss: 0.0801 | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 126.8470 | Mass Val Loss : 99.6630 | Epoch Time: 9.32s | Total Time: 382.32s
Epoch 42/150 | Train Loss: 0.1037 | Val Loss: 0.0808 | Train - Val Loss Diff : 0.0229 | Mass Train Loss : 126.7093 | Mass Val Loss : 99.7764 | Epoch Time: 9.30s | Total Time: 391.62s
Epoch 43/150 | Train Loss: 0.1035 | Val Loss: 0.0821 | Train - Val Loss Diff : 0.0214 | Mass Train Loss : 126.6998 | Mass Val Loss : 93.2297 | Epoch Time: 9.27s | Total Time: 400.89s
Epoch 44/150 | Train Loss: 0.1033 | Val Loss: 0.0796 | Train - Val Loss Diff : 0.0237 | Mass Train Loss : 126.5122 | Mass Val Loss : 87.1299 | Epoch Time: 9.25s | Total Time: 410.14s
Epoch 45/150 | Train Loss: 0.1032 | Val Loss: 0.0810 | Train - Val Loss Diff : 0.0222 | Mass Train Loss : 126.3245 | Mass Val Loss : 93.4563 | Epoch Time: 9.30s | Total Time: 419.45s
Epoch 46/150 | Train Loss: 0.1032 | Val Loss: 0.0814 | Train - Val Loss Diff : 0.0218 | Mass Train Loss : 126.5750 | Mass Val Loss : 91.3295 | Epoch Time: 9.35s | Total Time: 428.79s
Epoch 47/150 | Train Loss: 0.1031 | Val Loss: 0.0813 | Train - Val Loss Diff : 0.0218 | Mass Train Loss : 126.7568 | Mass Val Loss : 90.6080 | Epoch Time: 9.38s | Total Time: 438.17s
Epoch 48/150 | Train Loss: 0.1029 | Val Loss: 0.0798 | Train - Val Loss Diff : 0.0231 | Mass Train Loss : 126.2220 | Mass Val Loss : 94.9389 | Epoch Time: 9.35s | Total Time: 447.52s
Epoch 49/150 | Train Loss: 0.1029 | Val Loss: 0.0800 | Train - Val Loss Diff : 0.0228 | Mass Train Loss : 126.2359 | Mass Val Loss : 86.4421 | Epoch Time: 9.35s | Total Time: 456.87s
Epoch 50/150 | Train Loss: 0.1028 | Val Loss: 0.0787 | Train - Val Loss Diff : 0.0241 | Mass Train Loss : 126.0641 | Mass Val Loss : 91.5242 | Epoch Time: 9.33s | Total Time: 466.20s
Epoch 51/150 | Train Loss: 0.1027 | Val Loss: 0.0792 | Train - Val Loss Diff : 0.0235 | Mass Train Loss : 126.2321 | Mass Val Loss : 98.4838 | Epoch Time: 9.33s | Total Time: 475.52s
Epoch 52/150 | Train Loss: 0.1027 | Val Loss: 0.0828 | Train - Val Loss Diff : 0.0199 | Mass Train Loss : 126.4880 | Mass Val Loss : 90.9449 | Epoch Time: 9.34s | Total Time: 484.86s
Epoch 53/150 | Train Loss: 0.1027 | Val Loss: 0.0799 | Train - Val Loss Diff : 0.0227 | Mass Train Loss : 126.2248 | Mass Val Loss : 96.9664 | Epoch Time: 9.35s | Total Time: 494.22s
Epoch 54/150 | Train Loss: 0.1024 | Val Loss: 0.0808 | Train - Val Loss Diff : 0.0216 | Mass Train Loss : 125.8960 | Mass Val Loss : 89.2605 | Epoch Time: 9.36s | Total Time: 503.58s
Epoch 55/150 | Train Loss: 0.1024 | Val Loss: 0.0818 | Train - Val Loss Diff : 0.0206 | Mass Train Loss : 126.1071 | Mass Val Loss : 98.9866 | Epoch Time: 9.36s | Total Time: 512.94s
Epoch 56/150 | Train Loss: 0.1023 | Val Loss: 0.0806 | Train - Val Loss Diff : 0.0217 | Mass Train Loss : 126.0981 | Mass Val Loss : 90.3486 | Epoch Time: 9.37s | Total Time: 522.31s
Epoch 57/150 | Train Loss: 0.0997 | Val Loss: 0.0770 | Train - Val Loss Diff : 0.0227 | Mass Train Loss : 124.3858 | Mass Val Loss : 93.2328 | Epoch Time: 9.38s | Total Time: 531.69s
Epoch 58/150 | Train Loss: 0.0995 | Val Loss: 0.0782 | Train - Val Loss Diff : 0.0212 | Mass Train Loss : 124.1371 | Mass Val Loss : 89.0075 | Epoch Time: 9.30s | Total Time: 540.99s
Epoch 59/150 | Train Loss: 0.0994 | Val Loss: 0.0780 | Train - Val Loss Diff : 0.0214 | Mass Train Loss : 124.0564 | Mass Val Loss : 92.8727 | Epoch Time: 9.30s | Total Time: 550.29s
Epoch 60/150 | Train Loss: 0.0993 | Val Loss: 0.0772 | Train - Val Loss Diff : 0.0222 | Mass Train Loss : 124.1676 | Mass Val Loss : 93.6574 | Epoch Time: 9.31s | Total Time: 559.60s
Epoch 61/150 | Train Loss: 0.0993 | Val Loss: 0.0768 | Train - Val Loss Diff : 0.0225 | Mass Train Loss : 124.0014 | Mass Val Loss : 87.5788 | Epoch Time: 9.33s | Total Time: 568.93s
Epoch 62/150 | Train Loss: 0.0993 | Val Loss: 0.0767 | Train - Val Loss Diff : 0.0226 | Mass Train Loss : 124.0760 | Mass Val Loss : 86.4849 | Epoch Time: 9.33s | Total Time: 578.26s
Epoch 63/150 | Train Loss: 0.0992 | Val Loss: 0.0753 | Train - Val Loss Diff : 0.0239 | Mass Train Loss : 123.9045 | Mass Val Loss : 88.2744 | Epoch Time: 9.34s | Total Time: 587.60s
Epoch 64/150 | Train Loss: 0.0991 | Val Loss: 0.0771 | Train - Val Loss Diff : 0.0220 | Mass Train Loss : 123.9786 | Mass Val Loss : 90.4096 | Epoch Time: 9.33s | Total Time: 596.93s
Epoch 65/150 | Train Loss: 0.0991 | Val Loss: 0.0759 | Train - Val Loss Diff : 0.0232 | Mass Train Loss : 123.8345 | Mass Val Loss : 90.6867 | Epoch Time: 9.36s | Total Time: 606.29s
Epoch 66/150 | Train Loss: 0.0990 | Val Loss: 0.0786 | Train - Val Loss Diff : 0.0203 | Mass Train Loss : 123.8661 | Mass Val Loss : 96.2078 | Epoch Time: 9.37s | Total Time: 615.66s
Epoch 67/150 | Train Loss: 0.0990 | Val Loss: 0.0766 | Train - Val Loss Diff : 0.0224 | Mass Train Loss : 123.8694 | Mass Val Loss : 93.4381 | Epoch Time: 9.35s | Total Time: 625.01s
