# ---------- BATCH RECIEPT ---------- #
Job ID: 17762331
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 14:10:53 BST 2026
Job description: Kinematic Regression MLA with no scaling
Node: node872.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 14:10:59
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1
  latent_dim: 16

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  kl_weight_max: 0.1
  kl_ramp_epochs: 15
  kl_bins: 100
  kl_sigma: 0.2
  kl_eps: 1e-08
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 20/150 | Train Loss: 0.1072 (KL: 0.0141) | Val Loss: 0.0839 (KL: 0.0121) | Train - Val Loss Diff : 0.0233 | Mass Train Loss : 128.2203 | Mass Val Loss : 101.0371 | Epoch Time: 11.80s | Total Time: 235.84s
Epoch 21/150 | Train Loss: 0.1068 (KL: 0.0141) | Val Loss: 0.0831 (KL: 0.0152) | Train - Val Loss Diff : 0.0237 | Mass Train Loss : 128.0754 | Mass Val Loss : 96.7900 | Epoch Time: 11.78s | Total Time: 247.63s
Epoch 22/150 | Train Loss: 0.1066 (KL: 0.0140) | Val Loss: 0.0831 (KL: 0.0098) | Train - Val Loss Diff : 0.0235 | Mass Train Loss : 127.7762 | Mass Val Loss : 103.8060 | Epoch Time: 11.78s | Total Time: 259.41s
Epoch 23/150 | Train Loss: 0.1065 (KL: 0.0140) | Val Loss: 0.0822 (KL: 0.0114) | Train - Val Loss Diff : 0.0243 | Mass Train Loss : 127.8942 | Mass Val Loss : 96.2470 | Epoch Time: 11.79s | Total Time: 271.20s
Epoch 24/150 | Train Loss: 0.1063 (KL: 0.0139) | Val Loss: 0.0827 (KL: 0.0166) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 127.6332 | Mass Val Loss : 94.6242 | Epoch Time: 11.77s | Total Time: 282.97s
Epoch 25/150 | Train Loss: 0.1062 (KL: 0.0139) | Val Loss: 0.0824 (KL: 0.0110) | Train - Val Loss Diff : 0.0238 | Mass Train Loss : 127.5955 | Mass Val Loss : 97.1191 | Epoch Time: 11.78s | Total Time: 294.75s
Epoch 26/150 | Train Loss: 0.1061 (KL: 0.0138) | Val Loss: 0.0820 (KL: 0.0115) | Train - Val Loss Diff : 0.0241 | Mass Train Loss : 127.3690 | Mass Val Loss : 98.3519 | Epoch Time: 11.77s | Total Time: 306.52s
Epoch 27/150 | Train Loss: 0.1059 (KL: 0.0139) | Val Loss: 0.0817 (KL: 0.0146) | Train - Val Loss Diff : 0.0242 | Mass Train Loss : 127.3673 | Mass Val Loss : 88.3202 | Epoch Time: 11.79s | Total Time: 318.31s
Epoch 28/150 | Train Loss: 0.1058 (KL: 0.0138) | Val Loss: 0.0842 (KL: 0.0126) | Train - Val Loss Diff : 0.0217 | Mass Train Loss : 127.1409 | Mass Val Loss : 107.8563 | Epoch Time: 11.75s | Total Time: 330.06s
Epoch 29/150 | Train Loss: 0.1056 (KL: 0.0136) | Val Loss: 0.0820 (KL: 0.0132) | Train - Val Loss Diff : 0.0236 | Mass Train Loss : 126.9818 | Mass Val Loss : 91.1106 | Epoch Time: 11.78s | Total Time: 341.84s
Epoch 30/150 | Train Loss: 0.1056 (KL: 0.0138) | Val Loss: 0.0811 (KL: 0.0109) | Train - Val Loss Diff : 0.0245 | Mass Train Loss : 126.9937 | Mass Val Loss : 94.6289 | Epoch Time: 11.75s | Total Time: 353.59s
Epoch 31/150 | Train Loss: 0.1055 (KL: 0.0138) | Val Loss: 0.0825 (KL: 0.0113) | Train - Val Loss Diff : 0.0230 | Mass Train Loss : 127.0898 | Mass Val Loss : 95.7540 | Epoch Time: 11.76s | Total Time: 365.35s
Epoch 32/150 | Train Loss: 0.1054 (KL: 0.0138) | Val Loss: 0.0830 (KL: 0.0103) | Train - Val Loss Diff : 0.0224 | Mass Train Loss : 126.8554 | Mass Val Loss : 102.4525 | Epoch Time: 11.76s | Total Time: 377.11s
Epoch 33/150 | Train Loss: 0.1052 (KL: 0.0136) | Val Loss: 0.0823 (KL: 0.0128) | Train - Val Loss Diff : 0.0229 | Mass Train Loss : 127.2229 | Mass Val Loss : 95.3437 | Epoch Time: 11.76s | Total Time: 388.87s
Epoch 34/150 | Train Loss: 0.1052 (KL: 0.0136) | Val Loss: 0.0818 (KL: 0.0091) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 127.0210 | Mass Val Loss : 98.5079 | Epoch Time: 11.71s | Total Time: 400.59s
Epoch 35/150 | Train Loss: 0.1050 (KL: 0.0136) | Val Loss: 0.0815 (KL: 0.0124) | Train - Val Loss Diff : 0.0235 | Mass Train Loss : 126.6702 | Mass Val Loss : 97.2499 | Epoch Time: 11.74s | Total Time: 412.33s
Epoch 36/150 | Train Loss: 0.1051 (KL: 0.0136) | Val Loss: 0.0819 (KL: 0.0136) | Train - Val Loss Diff : 0.0232 | Mass Train Loss : 126.7840 | Mass Val Loss : 91.5967 | Epoch Time: 11.73s | Total Time: 424.06s
Epoch 37/150 | Train Loss: 0.1018 (KL: 0.0125) | Val Loss: 0.0774 (KL: 0.0121) | Train - Val Loss Diff : 0.0244 | Mass Train Loss : 124.5693 | Mass Val Loss : 89.3152 | Epoch Time: 11.75s | Total Time: 435.81s
