Epoch 25/150 | Train Loss: 0.1010 | Val Loss: 0.0976 | Loss Diff : 0.0034 | Epoch Time: 8.64s | Total Time: 215.83s
Epoch 26/150 | Train Loss: 0.1003 | Val Loss: 0.0962 | Loss Diff : 0.0041 | Epoch Time: 8.63s | Total Time: 224.47s
Epoch 27/150 | Train Loss: 0.0996 | Val Loss: 0.0955 | Loss Diff : 0.0042 | Epoch Time: 8.63s | Total Time: 233.10s
Epoch 28/150 | Train Loss: 0.0991 | Val Loss: 0.0963 | Loss Diff : 0.0028 | Epoch Time: 8.61s | Total Time: 241.71s
Epoch 29/150 | Train Loss: 0.0987 | Val Loss: 0.0949 | Loss Diff : 0.0038 | Epoch Time: 8.61s | Total Time: 250.32s
Epoch 30/150 | Train Loss: 0.0982 | Val Loss: 0.0943 | Loss Diff : 0.0039 | Epoch Time: 8.63s | Total Time: 258.95s
Epoch 31/150 | Train Loss: 0.0980 | Val Loss: 0.0942 | Loss Diff : 0.0039 | Epoch Time: 8.61s | Total Time: 267.56s
Epoch 32/150 | Train Loss: 0.0975 | Val Loss: 0.0965 | Loss Diff : 0.0010 | Epoch Time: 8.62s | Total Time: 276.18s
Epoch 33/150 | Train Loss: 0.0973 | Val Loss: 0.0933 | Loss Diff : 0.0040 | Epoch Time: 8.60s | Total Time: 284.78s
Epoch 34/150 | Train Loss: 0.0969 | Val Loss: 0.0928 | Loss Diff : 0.0041 | Epoch Time: 8.61s | Total Time: 293.39s
Epoch 35/150 | Train Loss: 0.0967 | Val Loss: 0.0932 | Loss Diff : 0.0035 | Epoch Time: 8.63s | Total Time: 302.02s
Epoch 36/150 | Train Loss: 0.0965 | Val Loss: 0.0923 | Loss Diff : 0.0042 | Epoch Time: 8.64s | Total Time: 310.65s
Epoch 37/150 | Train Loss: 0.0964 | Val Loss: 0.0921 | Loss Diff : 0.0043 | Epoch Time: 8.62s | Total Time: 319.28s
Epoch 38/150 | Train Loss: 0.0961 | Val Loss: 0.0918 | Loss Diff : 0.0042 | Epoch Time: 8.62s | Total Time: 327.89s
Epoch 39/150 | Train Loss: 0.0957 | Val Loss: 0.0943 | Loss Diff : 0.0013 | Epoch Time: 8.62s | Total Time: 336.51s
Epoch 40/150 | Train Loss: 0.0957 | Val Loss: 0.0919 | Loss Diff : 0.0038 | Epoch Time: 8.62s | Total Time: 345.13s
Epoch 41/150 | Train Loss: 0.0955 | Val Loss: 0.0921 | Loss Diff : 0.0034 | Epoch Time: 8.60s | Total Time: 353.73s
Epoch 42/150 | Train Loss: 0.0952 | Val Loss: 0.0927 | Loss Diff : 0.0025 | Epoch Time: 8.64s | Total Time: 362.37s
Epoch 43/150 | Train Loss: 0.0951 | Val Loss: 0.0912 | Loss Diff : 0.0038 | Epoch Time: 8.64s | Total Time: 371.01s
Epoch 44/150 | Train Loss: 0.0949 | Val Loss: 0.0914 | Loss Diff : 0.0035 | Epoch Time: 8.63s | Total Time: 379.64s
Epoch 45/150 | Train Loss: 0.0947 | Val Loss: 0.0916 | Loss Diff : 0.0030 | Epoch Time: 8.61s | Total Time: 388.25s
Epoch 46/150 | Train Loss: 0.0947 | Val Loss: 0.0908 | Loss Diff : 0.0039 | Epoch Time: 8.62s | Total Time: 396.87s
Epoch 47/150 | Train Loss: 0.0945 | Val Loss: 0.0914 | Loss Diff : 0.0031 | Epoch Time: 8.60s | Total Time: 405.47s
Epoch 48/150 | Train Loss: 0.0942 | Val Loss: 0.0908 | Loss Diff : 0.0034 | Epoch Time: 8.62s | Total Time: 414.09s
Epoch 49/150 | Train Loss: 0.0942 | Val Loss: 0.0915 | Loss Diff : 0.0027 | Epoch Time: 8.62s | Total Time: 422.71s
Epoch 50/150 | Train Loss: 0.0941 | Val Loss: 0.0908 | Loss Diff : 0.0033 | Epoch Time: 8.62s | Total Time: 431.33s
Epoch 51/150 | Train Loss: 0.0939 | Val Loss: 0.0915 | Loss Diff : 0.0024 | Epoch Time: 8.66s | Total Time: 439.99s
Epoch 52/150 | Train Loss: 0.0938 | Val Loss: 0.0897 | Loss Diff : 0.0040 | Epoch Time: 8.64s | Total Time: 448.63s
Epoch 53/150 | Train Loss: 0.0937 | Val Loss: 0.0903 | Loss Diff : 0.0034 | Epoch Time: 8.60s | Total Time: 457.23s
