# ---------- BATCH RECIEPT ---------- #
Job ID: 17762831
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 14:50:53 BST 2026
Job description: Direct Regression DNN
Node: node885.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 14:51:33
Using cuda device with number of GPUs: 1


============================================================
Beginning Training Loop
============================================================
Epoch 41/150 | Train Loss: 0.1142 | Val Loss: 0.1032 | Loss Diff : 0.0110 | Epoch Time: 4.64s | Total Time: 178.44s
Epoch 42/150 | Train Loss: 0.1143 | Val Loss: 0.1039 | Loss Diff : 0.0104 | Epoch Time: 4.33s | Total Time: 182.77s
Epoch 43/150 | Train Loss: 0.1142 | Val Loss: 0.1033 | Loss Diff : 0.0109 | Epoch Time: 4.30s | Total Time: 187.06s
Epoch 44/150 | Train Loss: 0.1140 | Val Loss: 0.1034 | Loss Diff : 0.0107 | Epoch Time: 3.99s | Total Time: 191.06s
Epoch 45/150 | Train Loss: 0.1141 | Val Loss: 0.1036 | Loss Diff : 0.0104 | Epoch Time: 4.08s | Total Time: 195.14s
Epoch 46/150 | Train Loss: 0.1140 | Val Loss: 0.1034 | Loss Diff : 0.0106 | Epoch Time: 4.23s | Total Time: 199.36s
Epoch 47/150 | Train Loss: 0.1141 | Val Loss: 0.1032 | Loss Diff : 0.0109 | Epoch Time: 4.66s | Total Time: 204.03s
Epoch 48/150 | Train Loss: 0.1141 | Val Loss: 0.1032 | Loss Diff : 0.0108 | Epoch Time: 4.10s | Total Time: 208.13s
Epoch 49/150 | Train Loss: 0.1139 | Val Loss: 0.1029 | Loss Diff : 0.0110 | Epoch Time: 4.44s | Total Time: 212.57s
Epoch 50/150 | Train Loss: 0.1139 | Val Loss: 0.1032 | Loss Diff : 0.0107 | Epoch Time: 4.17s | Total Time: 216.73s
Epoch 51/150 | Train Loss: 0.1138 | Val Loss: 0.1030 | Loss Diff : 0.0109 | Epoch Time: 4.11s | Total Time: 220.85s
Epoch 52/150 | Train Loss: 0.1138 | Val Loss: 0.1029 | Loss Diff : 0.0109 | Epoch Time: 4.10s | Total Time: 224.95s
Epoch 53/150 | Train Loss: 0.1138 | Val Loss: 0.1030 | Loss Diff : 0.0108 | Epoch Time: 4.11s | Total Time: 229.06s
Epoch 54/150 | Train Loss: 0.1139 | Val Loss: 0.1031 | Loss Diff : 0.0108 | Epoch Time: 4.19s | Total Time: 233.25s
Epoch 55/150 | Train Loss: 0.1137 | Val Loss: 0.1029 | Loss Diff : 0.0107 | Epoch Time: 4.07s | Total Time: 237.32s
